Rank,University,Location,Overall Score,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score
1,University of Oxford,United Kingdom,98.5,96.8,100.0,98.8,99.6,97.3
2,Massachusetts Institute of Technology,United States,98.1,99.2,96.0,99.7,100.0,93.8
3,Harvard University,United States,97.7,97.3,99.9,99.3,85.7,90.1
4,Princeton University,United States,97.5,98.3,98.0,98.9,96.9,87.4
5,University of Cambridge,United Kingdom,97.4,95.9,99.9,97.6,88.4,97.1
6,Stanford University,United States,97.2,97.5,97.3,99.6,100.0,85.1
7,California Institute of Technology,United States,96.3,95.2,97.5,97.3,100.0,89.7
8,"University of California, Berkeley",United States,94.5,87.2,98.9,99.0,99.5,86.4
9,Imperial College London,United Kingdom,94.4,89.3,94.9,98.5,90.8,98.3
10,Yale University,United States,94.1,93.7,95.0,97.8,86.5,82.3
11,ETH Zurich,Switzerland,93.0,87.3,97.2,95.1,84.0,95.3
12,Tsinghua University,China,92.5,95.4,98.4,93.5,100.0,49.8
13,Peking University,China,92.0,94.9,97.7,88.2,99.9,70.1
=14,The University of Chicago,United States,90.9,88.4,90.0,97.4,86.2,81.1
=14,University of Pennsylvania,United States,90.9,87.1,90.7,96.9,98.3,79.3
16,Johns Hopkins University,United States,90.7,83.7,91.3,97.3,100.0,83.6
17,National University of Singapore,Singapore,89.9,78.4,93.6,95.7,100.0,91.9
=18,Columbia University,United States,89.8,86.4,88.8,96.9,75.9,85.4
=18,"University of California, Los Angeles",United States,89.8,84.9,92.1,96.6,89.0,73.4
20,Cornell University,United States,89.2,83.2,91.1,96.8,69.5,85.5
21,University of Toronto,Canada,88.3,76.2,93.5,93.4,94.9,91.8
=22,UCL,United Kingdom,87.7,77.6,86.2,98.4,74.9,97.7
=22,University of Michigan-Ann Arbor,United States,87.7,84.3,88.8,95.4,82.5,68.2
24,Carnegie Mellon University,United States,85.7,73.1,85.1,99.0,85.4,84.2
25,University of Washington,United States,83.8,74.6,81.3,98.0,84.7,72.1
26,Technical University of Munich,Germany,83.5,70.4,86.0,91.7,100.0,83.1
27,Duke University,United States,83.4,77.7,75.6,96.2,100.0,75.5
28,The University of Tokyo,Japan,83.3,94.1,94.2,68.3,100.0,50.4
29,University of Edinburgh,United Kingdom,82.5,72.2,77.1,95.7,72.2,96.6
30,"Nanyang Technological University, Singapore",Singapore,81.8,65.8,79.3,94.5,99.9,94.1
31,Northwestern University,United States,81.4,71.8,75.8,97.8,92.3,69.4
32,École Polytechnique Fédérale de Lausanne,Switzerland,80.4,73.6,72.4,88.5,100.0,95.3
33,New York University,United States,80.3,72.0,76.8,94.3,71.7,75.3
34,"University of California, San Diego",United States,79.9,64.9,75.8,97.4,100.0,73.9
35,University of Hong Kong,Hong Kong,79.6,65.0,70.5,96.1,96.3,97.4
=36,Fudan University,China,78.8,78.2,76.2,85.4,99.4,53.8
=36,King’s College London,United Kingdom,78.8,60.1,74.3,97.2,76.2,97.2
38,LMU Munich,Germany,78.7,65.2,76.5,91.7,100.0,76.4
39,University of Melbourne,Australia,78.4,64.2,75.3,89.1,99.3,92.3
40,Georgia Institute of Technology,United States,78.3,60.0,77.7,92.9,99.2,83.4
41,University of British Columbia,Canada,77.8,62.3,76.7,89.7,79.8,94.3
42,Paris Sciences et Lettres – PSL Research University Paris,France,77.7,74.4,72.8,82.0,99.4,80.4
43,KU Leuven,Belgium,77.0,59.5,74.9,92.4,100.0,80.6
44,The Chinese University of Hong Kong,Hong Kong,76.8,60.8,64.3,97.8,94.2,94.6
45,McGill University,Canada,76.7,66.2,70.9,88.6,78.0,91.6
46,University of Illinois at Urbana-Champaign,United States,76.5,66.4,81.0,84.1,86.7,63.2
=47,Universität Heidelberg,Germany,76.2,65.6,63.4,95.2,99.3,78.5
=47,Zhejiang University,China,76.2,70.6,76.6,81.8,100.0,61.3
49,Karolinska Institute,Sweden,76.1,59.9,67.1,96.1,95.9,83.8
=50,London School of Economics and Political Science,United Kingdom,75.9,60.0,72.0,94.7,45.1,94.2
=50,University of Texas at Austin,United States,75.9,66.1,76.3,91.3,82.6,47.2
52,Shanghai Jiao Tong University,China,75.8,72.4,79.3,77.5,100.0,56.4
=53,University of Manchester,United Kingdom,75.5,60.3,67.7,93.4,73.3,95.5
=53,University of Science and Technology of China,China,75.5,72.3,68.1,90.0,98.8,46.1
55,Kyoto University,Japan,75.2,86.3,85.1,58.7,100.0,45.8
=56,Delft University of Technology,Netherlands,74.8,63.2,76.1,76.8,100.0,93.6
=56,University of Wisconsin-Madison,United States,74.8,69.7,70.2,86.3,81.4,63.5
=58,Brown University,United States,73.8,71.8,60.9,89.4,68.6,71.6
=58,Monash University,Australia,73.8,52.2,65.6,95.0,99.7,92.0
=58,University of Amsterdam,Netherlands,73.8,54.5,63.8,97.1,77.2,93.4
61,The University of Sydney,Australia,73.7,53.2,67.7,92.1,99.5,90.5
=62,Seoul National University,South Korea,73.5,73.7,74.3,76.2,100.0,44.9
=62,"University of California, Davis",United States,73.5,63.8,67.8,86.1,89.4,75.4
64,Université Paris-Saclay,France,73.4,68.4,66.9,81.5,91.0,77.5
65,Nanjing University,China,73.0,66.8,65.0,86.3,99.1,61.5
66,The Hong Kong University of Science and Technology,Hong Kong,72.9,54.1,60.9,93.0,100.0,98.1
=67,"University of California, Santa Barbara",United States,72.7,49.6,65.5,96.7,96.8,81.9
=67,Wageningen University & Research,Netherlands,72.7,56.7,59.3,92.9,99.0,92.8
69,Washington University in St Louis,United States,72.2,59.8,56.9,97.5,78.4,74.8
70,University of North Carolina at Chapel Hill,United States,71.6,63.3,62.3,93.3,75.7,50.9
71,Institut Polytechnique de Paris,France,71.3,69.2,60.8,73.4,98.3,97.0
72,University of Southern California,United States,71.0,58.3,60.4,92.8,75.0,73.2
=73,Australian National University,Australia,70.7,53.6,65.1,85.0,86.1,94.0
=73,Leiden University,Netherlands,70.7,46.8,62.8,93.8,98.7,87.7
75,Boston University,United States,70.6,60.5,56.2,93.2,71.2,75.3
76,Sorbonne University,France,70.4,64.6,61.1,82.4,71.5,80.8
77,The University of Queensland,Australia,70.3,50.8,61.9,87.8,99.7,93.6
78,City University of Hong Kong,Hong Kong,70.0,53.1,51.8,92.9,100.0,99.1
78,University of Bristol,United Kingdom,70.0,49.8,56.9,96.8,71.1,92.6
79,Purdue University West Lafayette,United States,69.9,63.0,68.9,73.8,86.2,77.2
=80,University of Groningen,Netherlands,69.8,46.4,57.5,94.8,99.9,93.5
82,Korea Advanced Institute of Science and Technology (KAIST),South Korea,69.5,65.2,66.7,78.3,100.0,45.7
83,UNSW Sydney,Australia,69.1,47.6,57.4,91.7,98.2,93.9
=84,Humboldt University of Berlin,Germany,68.0,53.3,63.5,84.9,65.5,76.8
=84,The Hong Kong Polytechnic University,Hong Kong,68.0,46.1,53.5,92.8,93.6,97.7
=84,University of Massachusetts,United States,68.0,58.6,52.1,87.9,87.4,76.0
=87,University of Glasgow,United Kingdom,67.8,47.5,51.4,96.0,72.0,96.0
=87,University of Minnesota,United States,67.8,58.4,59.6,86.0,99.9,46.2
89,University of Bonn,Germany,67.6,51.8,57.4,89.2,86.2,72.4
=90,"University of California, Irvine",United States,67.3,48.3,53.2,92.9,97.6,78.1
=90,Vanderbilt University,United States,67.3,53.3,49.0,95.9,95.0,63.5
92,RWTH Aachen University,Germany,67.2,53.9,64.2,78.0,100.0,70.3
=93,Charité - Universitätsmedizin Berlin,Germany,67.1,47.3,49.0,97.8,100.0,74.6
=93,University of Birmingham,United Kingdom,67.1,46.7,50.5,95.1,75.3,95.1
=95,KTH Royal Institute of Technology,Sweden,66.9,52.3,58.3,81.5,97.3,82.9
=95,Lund University,Sweden,66.9,48.4,58.4,86.0,99.8,79.3
97,University of Copenhagen,Denmark,66.6,49.1,51.8,92.0,90.4,79.3
=98,Emory University,United States,66.3,53.9,46.2,95.3,83.6,67.4
=98,University of Sheffield,United Kingdom,66.3,48.7,49.1,90.1,94.0,91.8
